ticker,ticker_name,market_product_category,type_33,type_17,dividendRate,dividendYield,fiveYearAvgDividendYield,payoutRatio,MarketCap,totalRevenue,ROE
3141.T,ウエルシアホールディングス,プライム（内国株式）,小売業,小売 ,34.0,0.0112,0.91,0.2475,649022210048.0,1144277958656.0,0.122930005
3143.T,オーウイル,スタンダード（内国株式）,卸売業,商社・卸売 ,100.0,0.0804,4.05,0.255,3924526080.0,31254999040.0,0.15138
3148.T,クリエイトＳＤホールディングス,プライム（内国株式）,小売業,小売 ,50.0,0.0146,1.32,0.2316,220632907776.0,372473004032.0,0.12128
3150.T,グリムス,プライム（内国株式）,卸売業,商社・卸売 ,22.0,0.0075,0.83,0.20549999,66828886016.0,31392000000.0,0.27427
3151.T,バイタルケーエスケー・ホールディングス,プライム（内国株式）,卸売業,商社・卸売 ,39.0,0.043,2.48,0.42080003,47591424000.0,579772022784.0,0.04928
3153.T,八洲電機,プライム（内国株式）,卸売業,商社・卸売 ,50.0,0.037,2.25,0.2775,28424239104.0,60269998080.0,0.07956
3154.T,メディアスホールディングス,プライム（内国株式）,卸売業,商社・卸売 ,41.0,0.051999997,1.61,0.3747,17670823936.0,229289000960.0,0.061979998
3156.T,レスターホールディングス,プライム（内国株式）,卸売業,商社・卸売 ,120.0,0.0505,4.02,0.48990002,70840442880.0,487128989696.0,0.089499995
3157.T,ジューテックホールディングス,スタンダード（内国株式）,卸売業,商社・卸売 ,38.0,0.0319,2.4,0.19600001,15674586112.0,182767992832.0,0.15365
3159.T,丸善ＣＨＩホールディングス,スタンダード（内国株式）,小売業,小売 ,4.0,0.0112,0.51,0.1034,32853901312.0,163398991872.0,0.03841
3160.T,大光,スタンダード（内国株式）,卸売業,商社・卸売 ,9.0,0.0152,1.29,0.2626,7884226048.0,62611001344.0,0.10641
3161.T,アゼアス,スタンダード（内国株式）,卸売業,商社・卸売 ,45.0,0.0696,2.45,0.2963,3672518912.0,9080999936.0,0.06307
3166.T,ＯＣＨＩホールディングス,プライム（内国株式）,卸売業,商社・卸売 ,52.0,0.040599998,2.59,0.2697,16897618944.0,115612999680.0,0.120179996
3167.T,ＴＯＫＡＩホールディングス,プライム（内国株式）,卸売業,商社・卸売 ,32.0,0.036,3.15,0.6476,116734050304.0,230190006272.0,0.08248
3168.T,黒谷,スタンダード（内国株式）,卸売業,商社・卸売 ,20.0,0.0324,3.06,1.7422,8656786432.0,90311000064.0,0.01832
3169.T,ミサワ,スタンダード（内国株式）,小売業,小売 ,20.0,0.0325,,0.277,4352453632.0,10924000256.0,0.31087
3172.T,ティーライフ,スタンダード（内国株式）,小売業,小売 ,52.0,0.0323,3.08,0.45209998,6704838144.0,13358999552.0,0.08432
3173.T,Ｃｏｍｉｎｉｘ,プライム（内国株式）,卸売業,商社・卸売 ,40.0,0.047,2.79,0.3051,5831356416.0,28853000192.0,0.10538
3174.T,ハピネス・アンド・ディ,スタンダード（内国株式）,小売業,小売 ,15.0,0.0163,2.39,,2354327040.0,,
3175.T,エー・ピーホールディングス,スタンダード（内国株式）,小売業,小売 ,,,,0.0,10117145600.0,17175000064.0,-3.97576
3176.T,三洋貿易,プライム（内国株式）,卸売業,商社・卸売 ,42.0,0.0313,3.49,0.29569998,38863032320.0,122628997120.0,0.104890004
3177.T,ありがとうサービス,スタンダード（内国株式）,小売業,小売 ,222.0,0.0854,4.72,0.3436,2398665728.0,9185000448.0,0.14792
3178.T,チムニー,スタンダード（内国株式）,小売業,小売 ,,,,0.0,26142015488.0,20155000832.0,-0.37636003
3179.T,シュッピン,プライム（内国株式）,小売業,小売 ,66.0,0.0571,1.8,0.374,23334246400.0,45617999872.0,0.28406
3180.T,ビューティガレージ,プライム（内国株式）,卸売業,商社・卸売 ,24.0,0.0053,0.48,0.122600004,28711591936.0,26428999680.0,0.14516
3181.T,買取王国,スタンダード（内国株式）,小売業,小売 ,16.0,0.0113,,0.10520001,4779060224.0,5864999936.0,0.12088
3182.T,オイシックス・ラ・大地,プライム（内国株式）,小売業,小売 ,,,,0.0,87081394176.0,115175997440.0,0.05815
3183.T,ウイン・パートナーズ,プライム（内国株式）,卸売業,商社・卸売 ,100.0,0.096099995,3.22,0.4997,29783844864.0,70854000640.0,0.09199
3184.T,ＩＣＤＡホールディングス,スタンダード（内国株式）,小売業,小売 ,100.0,0.0369,2.91,0.101,5877312000.0,30496000000.0,0.11256
3185.T,夢展望,グロース（内国株式）,小売業,小売 ,,,,0.0,2293792768.0,5184000000.0,-0.48708
3186.T,ネクステージ,プライム（内国株式）,小売業,小売 ,64.0,0.0173,0.55,0.14310001,299159486464.0,465612996608.0,0.24495001
3187.T,サンワカンパニー,グロース（内国株式）,小売業,小売 ,13.0,0.019299999,1.01,0.2834,12084252672.0,13256999936.0,
3189.T,ＡＮＡＰ,スタンダード（内国株式）,小売業,小売 ,,,,0.0,1472048768.0,4798000128.0,-6.64583
