ticker,ticker_name,market_product_category,type_33,type_17,dividendRate,dividendYield,fiveYearAvgDividendYield,payoutRatio,MarketCap,totalRevenue,ROE
3375.T,ＺＯＡ,スタンダード（内国株式）,小売業,小売 ,116.0,7.63,4.22,22.17,1919671040.0,9726000128.0,0.15
3377.T,バイク王＆カンパニー,スタンダード（内国株式）,卸売業,商社・卸売 ,30.0,4.02,1.84,24.4,10418337792.0,23487000576.0,0.0
3382.T,セブン＆アイ・ホールディングス,プライム（内国株式）,小売業,小売 ,113.0,1.88,2.18,32.38,5303766089728.0,11811302670336.0,0.09
3386.T,コスモ・バイオ,スタンダード（内国株式）,卸売業,商社・卸売 ,30.0,3.14,2.14,50.45,5499400704.0,9333999616.0,0.05
3387.T,クリエイト・レストランツ・ホールディングス,プライム（内国株式）,小売業,小売 ,6.0,0.61,0.0,37.24,206002864128.0,118240002048.0,0.12
3388.T,明治電機工業,プライム（内国株式）,卸売業,商社・卸売 ,66.0,4.55,4.16,30.02,18521503744.0,70946996224.0,0.08
3391.T,ツルハホールディングス,プライム（内国株式）,小売業,小売 ,267.0,2.5,1.54,40.23,522955358208.0,970079010816.0,0.1
3392.T,デリカフーズホールディングス,スタンダード（内国株式）,卸売業,商社・卸売 ,16.0,2.66,1.15,16.93,9600892928.0,47924998144.0,0.1
3393.T,スターティアホールディングス,プライム（内国株式）,卸売業,商社・卸売 ,83.0,6.27,1.4,30.35,12240452608.0,20003999744.0,0.24
3395.T,サンマルクホールディングス,プライム（内国株式）,小売業,小売 ,50.0,2.69,2.84,263.0,38454849536.0,57830998016.0,0.01
3396.T,フェリシモ,スタンダード（内国株式）,小売業,小売 ,30.0,2.98,0.82,15.91,7186693120.0,31989000192.0,0.02
3397.T,トリドールホールディングス,プライム（内国株式）,小売業,小売 ,15.0,0.47,0.53,19.09,277396619264.0,188320006144.0,0.06
3399.T,丸千代山岡家,スタンダード（内国株式）,小売業,小売 ,32.0,0.63,0.96,6.03,12232854528.0,7952626176.0,0.08
3401.T,帝人,プライム（内国株式）,繊維製品,素材・化学 ,30.0,2.03,3.34,0.0,283953102848.0,1018751025152.0,-0.03
3402.T,東レ,プライム（内国株式）,繊維製品,素材・化学 ,18.0,2.25,2.15,39.65,1275852881920.0,2489329909760.0,0.05
3405.T,クラレ,プライム（内国株式）,化学,素材・化学 ,48.0,3.47,3.52,29.68,463215099904.0,773783027712.0,0.08
3407.T,旭化成,プライム（内国株式）,化学,素材・化学 ,36.0,3.67,3.25,0.0,1349893619712.0,2726485032960.0,-0.05
3409.T,北日本紡績,スタンダード（内国株式）,繊維製品,素材・化学 ,0.0,0.0,0.0,0.0,2514741504.0,1184999936.0,-0.27
3415.T,ＴＯＫＹＯ　ＢＡＳＥ,プライム（内国株式）,小売業,小売 ,8.0,2.29,0.0,0.0,15869774848.0,19558000640.0,0.0
3416.T,ピクスタ,グロース（内国株式）,小売業,小売 ,0.0,0.0,0.0,0.0,1679978496.0,2748000000.0,0.22
3417.T,大木ヘルスケアホールディングス,スタンダード（内国株式）,卸売業,商社・卸売 ,22.0,2.3,1.98,13.9,13350171648.0,304444997632.0,0.09
3418.T,バルニバービ,グロース（内国株式）,小売業,小売 ,10.0,0.59,0.78,28.56,15188862976.0,12931000320.0,0.09
3420.T,ケー・エフ・シー,スタンダード（内国株式）,金属製品,建設・資材 ,100.0,7.51,3.65,34.98,9824986112.0,22627000320.0,0.05
3421.T,稲葉製作所,スタンダード（内国株式）,金属製品,建設・資材 ,26.0,1.61,1.9,19.99,26802737152.0,42441998336.0,0.05
3422.T,Ｊ－ＭＡＸ,スタンダード（内国株式）,金属製品,建設・資材 ,18.0,2.69,0.0,14.46,7839514624.0,52356001792.0,0.07
3423.T,エスイー,スタンダード（内国株式）,金属製品,建設・資材 ,26.0,8.64,3.72,45.11,9062429696.0,25451999232.0,0.09
3426.T,アトムリビンテック,スタンダード（内国株式）,金属製品,建設・資材 ,33.0,2.78,2.3,36.74,4740120064.0,10305999872.0,0.04
3431.T,宮地エンジニアリンググループ,プライム（内国株式）,金属製品,建設・資材 ,160.0,4.06,3.33,30.96,27255826432.0,60279001088.0,0.09
3433.T,トーカロ,プライム（内国株式）,金属製品,建設・資材 ,50.0,3.47,2.91,41.38,87526531072.0,48143998976.0,0.14
3434.T,アルファＣｏ,スタンダード（内国株式）,金属製品,建設・資材 ,35.0,2.71,3.06,54.81,12199158784.0,62882000896.0,0.01
